@relation responses_discretized-weka.filters.unsupervised.attribute.Remove-R1

@attribute SalaryUSD {Low,'Very High',High,'Very Low',Mid}
@attribute Country {Sweden,USA,UK,Pakistan,Paraguay,India,Serbia-and-Montenegro,Germany,Canada,Dominican-Republic,Slovakia,Brazil,France,Poland,Romania,Ireland,South-Africa,Portugal,CostaRica,Israel,Argentina,Peru,Australia,Venezuela,Spain,Belgium,Malaysia,Netherlands,Russia,Italy,Finland,Turkey,Austria,New-Zealand,Honduras,UAE,Guernsey,Norway,Luxembourg,PuertoRico,Guatemala,Greece,Denmark,Lithuania,Ukraine,Philippines,Hungary,Estonia,Caymans,Croatia,Indonesia,Thailand,Switzerland,Slovenia,Bosnia,Cyprus,Bulgaria,Singapore,Colombia,Chile,Iceland,Macedonia,Jersey,Latvia,CzechRepublic,Mexico,Bangladesh,China,Iran,Qatar,Ecuador,Uruguay,SaudiArabia,Vanuatu,Taiwan,Maldives,Armenia,Swaziland,Georgia,HK,Syria,Bahrain,Moldova,Nicaragua,Jamaica,Malta,Jordan,Uganda,Belarus,Nepal,Ghana,ElSalvador,Albania,Bolivia,Vietnam,Bermuda,Kenya}
@attribute PrimaryDatabase {M,P,A,MA,O,MS,RDS,MDB,DB2,SQLI,C,SAP,T,E}
@attribute YearsWithThisDatabase numeric
@attribute EmploymentStatus {E,EC,IC,P,I}
@attribute JobTitle {D,DBAP,DBAG,M,DA,DT,A,DBAD,E,AN,DS,DBA,PDE,DO,T,DBS,C,SA,S,DBABI,SRC,AC}
@attribute ManageStaff {Y,N}
@attribute YearsWithThisTypeOfJob numeric
@attribute HowManyCompanies numeric
@attribute OtherPeopleOnYourTeam numeric
@attribute PopulationOfLargestCityWithin20Miles {t,m,C,c,T}
@attribute EmploymentSector {PB,E,SG,LG,NP,FG,S}
@attribute CareerPlansThisYear {S,C,SR,SE}
@attribute Gender {M,F,NB}
@attribute DatabaseServers numeric
@attribute Education {'Bachelors (4 years)','None (no degree completed)',Masters,'Associates (2 years)',Doctorate/PhD}
@attribute EducationIsComputerRelated {Yes,No}
@attribute Certifications {N,YesValid,YesExpired}
@attribute HoursWorkedPerWeek numeric
@attribute TelecommuteDaysPerWeek {zero,five,four,one,three,two}

@data
Low,USA,M,1,E,DBAD,N,1,?,0,?,PB,S,M,2,'Bachelors (4 years)',Yes,N,45,zero
'Very High',Switzerland,M,18,E,DBAG,Y,15,?,0,?,PB,S,M,47,'None (no degree completed)',?,N,45,zero
'Very Low',Netherlands,M,3,E,DBAP,N,3,?,2,?,FG,S,M,150,'Bachelors (4 years)',Yes,YesValid,36,zero
Low,Norway,M,7,E,E,N,9,?,0,?,LG,S,M,5,'Associates (2 years)',No,N,38,zero
'Very Low',UK,M,11,E,DT,N,11,?,4,?,PB,S,M,6,'None (no degree completed)',?,N,35,zero
High,USA,M,7,E,DA,Y,12,?,1,?,PB,SE,M,3,'Bachelors (4 years)',Yes,YesValid,45,one
High,UK,M,15,IC,DBAD,N,1,?,0,?,PB,SR,M,9,'Bachelors (4 years)',Yes,YesExpired,35,zero
Low,UK,M,15,E,D,N,10,?,3,?,PB,SR,M,1,'Bachelors (4 years)',Yes,N,40,zero
Low,UK,M,15,E,DA,Y,8,?,0,?,FG,S,M,7,'Bachelors (4 years)',No,N,40,zero
'Very Low',UK,M,20,E,DBAD,Y,1,?,0,?,PB,S,F,2,'Bachelors (4 years)',No,YesExpired,40,one
'Very Low',Turkey,M,7,E,DT,Y,3,?,2,?,PB,SR,M,30,'Bachelors (4 years)',No,N,48,zero
'Very Low',Netherlands,M,1,EC,DA,N,7,?,0,?,PB,S,M,4,'Bachelors (4 years)',Yes,YesValid,40,zero
'Very Low',UK,O,7,E,D,Y,7,?,0,?,SG,SE,M,6,Masters,Yes,YesValid,40,one
'Very Low',UK,M,15,E,AN,N,20,?,6,?,PB,SE,M,20,'Bachelors (4 years)',No,YesExpired,40,zero
'Very Low',Russia,M,5,E,DBAP,N,1,?,0,?,PB,C,M,15,'None (no degree completed)',?,YesValid,40,zero
'Very Low',UK,M,6,E,DBAG,N,6,?,1,?,NP,SR,M,9,'Bachelors (4 years)',Yes,N,40,two
Low,USA,M,5,E,DT,N,3,?,0,?,PB,S,F,3,Masters,No,YesValid,45,zero
Low,Netherlands,M,20,E,M,Y,5,?,2,?,PB,SE,M,30,'None (no degree completed)',?,YesExpired,40,one
Low,USA,M,3,E,DBAG,N,3,?,1,?,PB,S,M,7,'Associates (2 years)',Yes,YesValid,40,zero
Low,USA,M,9,E,DA,N,6,?,6,?,PB,SE,M,10,'Bachelors (4 years)',Yes,YesExpired,40,zero
High,USA,M,7,E,M,Y,7,?,0,?,PB,?,M,2,'Bachelors (4 years)',No,YesExpired,45,zero
High,USA,M,10,E,DBAP,N,10,?,1,?,PB,S,M,200,'Bachelors (4 years)',No,YesExpired,45,zero
'Very Low',USA,M,2,E,DT,N,1,?,3,?,PB,?,M,9,'Bachelors (4 years)',Yes,N,40,zero
Mid,USA,M,6,E,DBAG,Y,1,?,0,?,PB,SR,M,6,'Associates (2 years)',Yes,N,50,zero
Mid,USA,M,18,E,?,N,25,?,6,?,PB,C,M,1000,'Associates (2 years)',Yes,N,43,zero
Low,Canada,M,13,E,DBAD,Y,8,?,1,?,PB,S,M,10,'Bachelors (4 years)',Yes,YesValid,40,zero
'Very High',USA,M,15,E,A,Y,4,?,3,?,PB,S,M,6,'Bachelors (4 years)',No,N,53,zero
Low,Canada,M,15,E,A,N,11,?,0,?,SG,S,M,130,'Bachelors (4 years)',Yes,N,35,zero
'Very Low',India,M,10,E,DBAD,N,9,?,1,?,PB,S,M,3,'Bachelors (4 years)',Yes,YesExpired,40,zero
'Very High',USA,M,15,E,DBAD,Y,2,?,2,?,PB,S,M,30,Masters,Yes,YesValid,40,one
Low,France,M,9,E,DBAP,N,2,?,0,?,PB,SR,M,280,Masters,Yes,N,42,zero
'Very High',USA,M,20,EC,A,N,4,?,6,?,PB,SR,M,20,'Bachelors (4 years)',No,YesValid,45,one
Mid,USA,M,11,E,D,N,1,?,1,?,PB,S,M,20,Doctorate/PhD,No,YesValid,40,one
High,USA,M,15,E,DBAP,N,1,?,0,?,PB,S,M,10,'Bachelors (4 years)',No,YesExpired,50,zero
'Very Low',UK,M,17,E,AN,N,17,?,0,?,PB,S,M,1,'None (no degree completed)',Yes,N,40,zero
'Very High',USA,M,18,E,DBAD,N,6,?,3,?,PB,SR,M,5,'Bachelors (4 years)',No,YesExpired,45,zero
'Very High',USA,M,18,E,D,Y,8,?,2,?,PB,?,M,5,'Bachelors (4 years)',No,N,40,two
Low,USA,M,6,E,DBAG,N,6,?,1,?,E,S,?,20,Doctorate/PhD,No,YesExpired,40,zero
Mid,USA,M,15,E,DBAD,N,1,?,0,?,PB,S,M,12,'Bachelors (4 years)',Yes,N,40,two
Mid,Sweden,M,18,EC,DBAG,N,1,?,3,?,PB,SE,M,1,Masters,Yes,YesExpired,40,zero
High,USA,M,8,E,M,Y,2,?,0,?,PB,S,M,25,'None (no degree completed)',?,N,45,zero
Mid,USA,M,10,E,DBAG,N,10,?,0,?,NP,?,M,4,'Bachelors (4 years)',Yes,N,40,three
'Very Low',South-Africa,M,0,E,DBAD,N,0,?,3,?,PB,S,M,4,'None (no degree completed)',?,YesValid,40,zero
Mid,USA,M,12,E,AN,N,5,?,2,?,PB,SR,M,5,'Bachelors (4 years)',No,N,40,one
Low,Canada,M,2,E,DT,N,0,?,2,?,PB,S,M,8,'Associates (2 years)',Yes,YesValid,40,zero
High,USA,O,18,E,E,N,18,?,2,?,PB,S,M,50,'Bachelors (4 years)',Yes,YesExpired,55,one
Low,USA,M,10,E,DA,N,2,?,4,?,PB,S,M,4,'Bachelors (4 years)',Yes,YesExpired,40,five
Low,USA,M,5,E,DA,N,1,?,4,?,LG,S,M,8,Masters,No,N,40,zero
Mid,USA,M,18,E,A,N,12,?,0,?,PB,?,F,10,'Bachelors (4 years)',No,N,40,one
Mid,USA,M,10,E,DBAP,N,10,?,6,?,PB,SE,M,2000,'Associates (2 years)',Yes,N,40,five
Low,USA,M,7,E,DA,N,5,?,0,?,E,S,M,9,'Bachelors (4 years)',Yes,YesValid,40,zero
'Very High',USA,M,18,E,DBAG,N,10,?,5,?,PB,S,M,500,'Bachelors (4 years)',No,YesExpired,40,five
'Very Low',USA,M,5,E,M,N,5,?,0,?,E,S,F,4,'Bachelors (4 years)',No,YesExpired,45,zero
'Very High',USA,M,25,E,A,N,5,?,0,?,PB,S,M,16,Masters,No,N,52,one
High,USA,M,8,EC,DBAD,N,15,?,1,?,FG,S,M,5,Masters,Yes,N,42,two
'Very Low',Canada,M,2,E,DT,N,2,?,0,?,PB,S,M,3,'None (no degree completed)',?,N,40,zero
Low,Germany,M,6,E,D,N,6,?,1,?,PB,S,M,2,Masters,Yes,N,40,zero
'Very High',USA,M,22,E,E,N,3,?,2,?,PB,S,M,5,'None (no degree completed)',Yes,N,45,one
High,USA,M,20,E,DBAG,N,9,?,0,?,PB,S,M,96,'Bachelors (4 years)',No,YesExpired,55,zero
'Very Low',USA,M,1,E,DBAG,N,1,?,0,?,PB,?,M,4,'Bachelors (4 years)',Yes,N,40,zero
Mid,USA,M,4,E,DBAD,N,4,?,1,?,PB,S,M,9,Masters,Yes,N,40,zero
'Very Low',USA,M,8,E,DA,N,8,?,4,?,PB,S,M,7,'Bachelors (4 years)',Yes,N,60,zero
'Very Low',USA,M,3,E,AN,Y,3,?,3,?,E,S,M,2,'Bachelors (4 years)',No,N,40,zero
'Very Low',USA,M,7,E,D,N,7,?,1,?,NP,?,M,16,'Associates (2 years)',Yes,N,45,zero
Mid,USA,M,7,EC,E,N,1,?,5,?,PB,C,M,20,'None (no degree completed)',?,YesValid,42,zero
Low,USA,M,3,E,DT,N,2,?,4,?,PB,SR,M,6,'None (no degree completed)',?,N,40,one
Mid,USA,M,17,E,E,N,10,?,0,?,PB,?,M,50,'Bachelors (4 years)',Yes,N,45,zero
'Very High',USA,M,10,E,A,N,4,?,1,?,PB,S,M,28,'Bachelors (4 years)',Yes,N,40,one
'Very High',USA,M,13,EC,DBAP,N,1,?,6,?,FG,SR,M,120,'Bachelors (4 years)',Yes,N,40,zero
Low,USA,M,13,E,DA,N,20,?,6,?,FG,S,M,12,'Bachelors (4 years)',No,YesExpired,40,zero
Mid,USA,M,4,E,DBAG,N,4,?,3,?,PB,S,F,52,'Bachelors (4 years)',Yes,N,43,five
'Very High',USA,M,12,E,DBAG,N,3,?,1,?,PB,S,M,15,'Bachelors (4 years)',Yes,N,45,zero
Mid,USA,M,10,E,D,N,5,?,6,?,E,S,M,24,Masters,Yes,N,40,zero
Low,USA,M,4,E,DT,N,4,?,0,?,PB,SE,M,3,'Associates (2 years)',No,YesExpired,40,five
'Very High',USA,M,15,E,E,N,7,?,0,?,PB,S,M,4,'Bachelors (4 years)',Yes,YesExpired,40,zero
High,USA,M,3,E,AN,Y,3,?,0,?,PB,SE,M,2,'Bachelors (4 years)',No,N,40,zero
Low,Canada,M,11,E,DBAG,N,7,?,0,?,PB,SR,M,20,'Bachelors (4 years)',No,YesExpired,40,zero
Mid,USA,M,4,E,DT,N,4,?,5,?,PB,S,M,158,'Bachelors (4 years)',Yes,N,40,zero
Mid,USA,M,10,E,D,N,20,?,0,?,PB,S,M,7,'Bachelors (4 years)',Yes,YesValid,50,zero
High,USA,M,8,E,DA,N,16,?,4,?,PB,S,M,10,'Bachelors (4 years)',No,YesExpired,40,one
'Very Low',USA,M,2,E,AN,N,2,?,0,?,PB,C,M,4,'None (no degree completed)',?,YesValid,41,zero
'Very High',USA,M,10,IC,DBAP,N,2,?,0,?,PB,C,M,600,'Associates (2 years)',?,YesExpired,40,five
Mid,USA,M,13,E,A,N,2,?,6,?,NP,S,M,10,'Bachelors (4 years)',Yes,N,40,zero
High,USA,M,22,E,DBAG,N,22,?,1,?,PB,S,M,125,'Bachelors (4 years)',No,N,42,zero
Mid,USA,M,5,E,DA,N,5,?,2,?,PB,SE,M,8,'Bachelors (4 years)',Yes,N,40,three
Low,UAE,O,3,E,DA,N,3,?,6,?,SG,SR,M,15,'Bachelors (4 years)',Yes,N,45,two
High,USA,M,16,E,DBAG,Y,5,?,4,?,PB,SR,M,100,Masters,No,N,43,five
High,USA,P,1,EC,DS,N,3,?,0,?,PB,C,M,2,'Bachelors (4 years)',No,YesValid,40,zero
'Very Low',USA,M,6,E,DBAG,N,6,?,2,?,PB,S,M,25,'Associates (2 years)',Yes,N,50,zero
High,USA,M,10,EC,D,N,10,?,5,?,PB,SR,M,4,'Bachelors (4 years)',Yes,YesValid,40,zero
Mid,USA,M,7,E,M,Y,5,?,1,?,PB,S,M,2,'None (no degree completed)',?,N,50,zero
Low,Canada,M,25,E,DBAD,N,3,?,1,?,PB,SR,M,15,'None (no degree completed)',?,YesExpired,40,one
High,USA,M,20,E,DT,N,1,?,0,?,PB,?,M,2,'Bachelors (4 years)',No,N,40,one
Low,USA,M,2,E,DA,N,2,?,3,?,PB,SE,M,12,'Bachelors (4 years)',No,N,42,zero
Mid,USA,M,22,E,DA,N,22,?,1,?,PB,S,F,3,'Bachelors (4 years)',Yes,N,45,five
Low,USA,M,1,E,DA,N,1,?,1,?,PB,S,M,2,'Bachelors (4 years)',No,N,50,zero
High,USA,M,6,E,DT,N,1,?,6,?,PB,S,M,4,'Bachelors (4 years)',Yes,YesValid,40,one
High,USA,M,16,IC,DT,N,10,?,0,?,PB,S,M,24,'None (no degree completed)',?,YesExpired,60,three
Low,USA,M,2,E,AN,N,1,?,2,?,PB,S,M,2,'Bachelors (4 years)',No,YesValid,40,zero
Mid,USA,M,9,E,DT,N,6,?,6,?,PB,SR,M,20,'Bachelors (4 years)',Yes,YesExpired,45,zero
Low,USA,M,4,E,DT,N,1,?,1,?,PB,S,M,6,'Bachelors (4 years)',No,N,40,zero
Mid,USA,M,2,E,AN,Y,2,?,6,?,PB,SE,M,2,'Bachelors (4 years)',No,N,55,zero
High,USA,M,15,E,DA,N,10,?,0,?,PB,S,M,6,'Bachelors (4 years)',Yes,N,40,zero
High,USA,M,8,E,D,N,5,?,1,?,PB,S,F,2,'Bachelors (4 years)',Yes,YesValid,43,zero
Mid,USA,M,16,E,AN,N,16,?,0,?,SG,S,M,3,'None (no degree completed)',?,N,40,zero
Mid,Norway,M,8,E,A,N,10,?,1,?,PB,S,M,17,'Bachelors (4 years)',Yes,YesValid,38,one
'Very Low',USA,M,4,E,AN,N,1,?,2,?,PB,S,F,1,Masters,No,N,40,zero
Low,USA,M,8,E,D,N,3,?,0,?,NP,SE,M,3,'Bachelors (4 years)',Yes,YesValid,40,zero
Mid,USA,M,17,E,AN,N,3,?,2,?,NP,S,F,4,'Bachelors (4 years)',No,YesExpired,38,one
'Very Low',USA,M,2,E,AN,N,2,?,0,?,PB,C,M,1,'Bachelors (4 years)',No,N,40,zero
Low,USA,M,10,E,DBAG,N,3,?,0,?,LG,S,M,8,'Bachelors (4 years)',No,YesValid,40,zero
High,USA,M,15,E,DBAD,N,1,?,1,?,PB,S,M,60,'Bachelors (4 years)',No,YesExpired,40,zero
Mid,USA,M,4,E,DT,N,3,?,1,?,PB,S,M,80,'Bachelors (4 years)',No,YesValid,42,zero
'Very High',USA,M,16,E,M,Y,7,?,3,?,PB,S,M,15,'Bachelors (4 years)',No,YesExpired,45,zero
Mid,USA,M,12,E,DBAG,N,4,?,1,?,PB,SR,M,50,'Bachelors (4 years)',Yes,N,40,five
Mid,USA,M,5,E,DBAP,N,5,?,5,?,PB,S,M,300,'Bachelors (4 years)',No,YesValid,50,one
Low,USA,M,15,E,M,N,5,?,0,?,PB,C,M,2,'None (no degree completed)',?,N,48,three
High,USA,M,15,E,DBAD,N,2,?,6,?,PB,?,M,75,'Bachelors (4 years)',Yes,N,50,two
'Very Low',USA,M,4,E,DT,Y,2,?,0,?,PB,S,M,2,'Bachelors (4 years)',No,N,35,zero
'Very High',USA,M,18,EC,A,N,18,?,3,?,PB,S,M,7,'Associates (2 years)',No,YesExpired,45,one
High,USA,M,15,E,DBAP,N,3,?,1,?,PB,S,M,50,'Bachelors (4 years)',No,YesExpired,40,one
'Very Low',UK,M,2,E,DBAG,N,2,?,1,?,PB,S,M,5,'None (no degree completed)',?,N,40,zero
Mid,USA,M,19,E,D,Y,2,?,0,?,PB,C,M,3,'Associates (2 years)',Yes,YesExpired,40,zero
High,USA,M,20,E,DBAP,N,3,?,0,?,PB,S,M,45,'Bachelors (4 years)',No,YesExpired,6,three
'Very High',Australia,M,15,IC,D,N,1,?,1,?,PB,SR,M,3,'Bachelors (4 years)',Yes,YesExpired,38,zero
High,USA,M,10,E,DT,N,10,?,5,?,PB,SR,M,20,'None (no degree completed)',?,YesValid,40,one
'Very High',USA,M,17,E,DT,Y,4,?,5,?,PB,S,M,10,'Bachelors (4 years)',Yes,YesValid,50,five
'Very Low',Poland,M,10,E,D,N,2,?,4,?,PB,S,M,1,Masters,Yes,YesValid,40,zero
'Very Low',USA,O,6,E,AN,N,6,?,1,?,E,S,M,5,Masters,No,N,35,zero
High,USA,M,10,E,DBAP,N,3,?,3,?,SG,S,M,32,'Bachelors (4 years)',Yes,YesExpired,35,one
Mid,USA,O,15,E,DBAG,N,25,?,0,?,PB,S,M,17,'Bachelors (4 years)',Yes,N,50,five
'Very High',USA,M,10,E,DBAD,Y,4,?,0,?,PB,S,M,6,'Bachelors (4 years)',Yes,YesValid,55,two
Mid,USA,P,6,E,DBAP,N,6,?,1,?,PB,S,M,24,'None (no degree completed)',?,N,40,zero
'Very Low',Canada,M,6,E,DBAP,N,3,?,1,?,PB,SR,M,25,'Bachelors (4 years)',Yes,YesValid,40,zero
Low,USA,P,2,E,AN,N,3,?,1,?,PB,S,M,2,'Bachelors (4 years)',Yes,N,40,zero
Mid,USA,M,7,E,DBAP,N,5,?,1,?,LG,S,M,80,Masters,Yes,YesExpired,42,zero
Low,USA,M,3,E,DT,N,1,?,5,?,PB,S,M,3,'Bachelors (4 years)',Yes,N,40,zero
Mid,USA,M,10,E,DBAP,N,10,?,0,?,PB,S,M,20,'Bachelors (4 years)',Yes,YesValid,42,two
Low,UK,M,10,E,DBAD,N,3,?,6,?,PB,SE,M,100,'Bachelors (4 years)',Yes,YesValid,40,zero
'Very High',USA,M,18,EC,DBAG,N,5,?,6,?,PB,S,M,250,'Bachelors (4 years)',No,YesExpired,40,five
Low,UK,M,9,E,A,N,3,?,0,?,LG,S,M,47,'Bachelors (4 years)',Yes,YesValid,42,zero
High,Norway,O,4,E,DBAP,N,9,?,6,?,FG,?,M,59,'None (no degree completed)',No,YesExpired,38,zero
'Very High',USA,M,19,E,DBAD,N,31,?,2,?,PB,S,M,300,Masters,Yes,YesValid,40,three
'Very High',USA,M,12,E,DBAG,N,6,?,1,?,PB,S,M,50,'Bachelors (4 years)',Yes,N,40,five
Low,New-Zealand,M,9,E,DT,N,2,?,1,?,PB,S,M,5,'Bachelors (4 years)',Yes,YesValid,37,zero
Mid,USA,M,3,E,DBAP,N,2,?,1,?,NP,S,F,12,'Bachelors (4 years)',No,YesValid,45,zero
'Very Low',UK,M,6,E,DT,N,3,?,0,?,PB,S,M,5,'Bachelors (4 years)',Yes,N,37,one
Low,USA,M,7,E,DT,N,4,?,0,?,PB,?,?,8,'Associates (2 years)',Yes,N,35,zero
'Very Low',Canada,M,9,E,DBAG,N,6,?,3,?,PB,S,M,200,'Associates (2 years)',Yes,N,50,zero
Low,USA,M,15,E,DT,N,15,?,1,?,PB,S,M,6,'Associates (2 years)',No,N,40,zero
Low,USA,M,4,E,DS,Y,1,?,0,?,PB,S,M,1,Masters,No,N,35,zero
High,USA,M,9,E,D,N,3,?,0,?,NP,SR,M,3,'Bachelors (4 years)',Yes,N,40,zero
Low,Ireland,M,13,E,D,N,1,?,1,?,PB,S,M,6,'Bachelors (4 years)',Yes,YesValid,40,zero
'Very High',USA,M,16,E,M,Y,1,?,5,?,PB,C,M,50,'Bachelors (4 years)',No,YesExpired,50,five
'Very High',USA,M,16,E,A,N,5,?,0,?,NP,S,M,14,'Bachelors (4 years)',Yes,YesValid,50,five
Low,USA,M,10,E,AN,N,1,?,1,?,PB,SR,M,2,'None (no degree completed)',?,YesExpired,35,zero
'Very Low',CostaRica,M,5,E,DBAG,N,5,?,3,?,PB,S,M,10,'Bachelors (4 years)',Yes,N,40,four
Mid,USA,M,10,E,DBAG,N,6,?,1,?,PB,S,M,11,'Bachelors (4 years)',Yes,N,40,zero
Mid,USA,M,5,E,DBAG,N,5,?,0,?,PB,S,M,5,'None (no degree completed)',?,YesValid,40,zero
'Very Low',UK,M,19,E,DBAD,Y,15,?,0,?,PB,S,M,10,'None (no degree completed)',Yes,YesExpired,38,zero
Low,Guernsey,M,9,E,DBAG,N,5,?,0,?,PB,SE,M,70,'Bachelors (4 years)',Yes,YesExpired,38,zero
High,USA,M,22,E,DBAG,N,5,?,2,?,PB,S,M,4,'Bachelors (4 years)',Yes,YesExpired,45,zero
High,USA,M,15,E,DT,N,2,?,0,?,PB,C,M,12,'Bachelors (4 years)',Yes,N,40,zero
Low,USA,M,17,E,AN,N,5,?,0,?,LG,S,M,200,'None (no degree completed)',?,YesExpired,40,zero
Low,USA,M,10,E,M,Y,2,?,0,?,PB,SE,M,1,'None (no degree completed)',?,N,55,three
'Very High',USA,M,13,E,M,Y,2,?,0,?,PB,SE,M,150,'Bachelors (4 years)',Yes,YesExpired,45,zero
'Very High',New-Zealand,M,12,EC,DBAP,N,6,?,3,?,LG,S,M,50,'Bachelors (4 years)',No,YesExpired,45,zero
High,USA,M,12,EC,DT,Y,4,?,6,?,PB,S,M,150,Masters,Yes,N,50,five
Mid,USA,M,10,E,DBAP,N,8,?,3,?,PB,S,M,500,'Bachelors (4 years)',Yes,YesValid,45,one
Low,Canada,M,15,E,DBAP,N,7,?,0,?,PB,S,M,500,'Bachelors (4 years)',Yes,N,40,three
Low,USA,M,4,E,DT,N,1,?,1,?,PB,S,M,1,'Bachelors (4 years)',Yes,N,35,zero
'Very High',USA,M,17,E,DBAP,Y,17,?,3,?,PB,S,M,53,'Bachelors (4 years)',No,N,55,five
'Very High',USA,O,10,E,D,N,5,?,3,?,PB,S,M,20,Masters,Yes,YesValid,50,zero
'Very Low',USA,M,1,E,DBAG,N,1,?,1,?,PB,S,M,200,'Associates (2 years)',Yes,YesValid,45,one
'Very Low',USA,M,3,P,DBAP,N,3,?,2,?,LG,SR,M,100,'Associates (2 years)',Yes,N,20,zero
Low,USA,M,7,E,DT,N,1,?,1,?,PB,S,M,2,'Bachelors (4 years)',No,YesExpired,45,four
Mid,USA,M,20,E,DS,N,20,?,0,?,NP,S,M,5,Masters,Yes,YesValid,50,zero
High,UK,M,20,E,A,N,1,?,6,?,PB,S,M,0,'Bachelors (4 years)',Yes,YesValid,45,three
'Very Low',Poland,M,10,E,DBAG,N,2,?,3,?,PB,S,M,200,Masters,Yes,YesValid,40,one
Mid,UK,M,18,E,DBAD,N,3,?,3,?,PB,S,M,20,'Bachelors (4 years)',Yes,YesExpired,40,zero
High,UK,M,8,IC,DBAP,N,3,?,0,?,PB,S,M,1000,'None (no degree completed)',?,YesExpired,60,zero
Low,USA,M,5,E,DT,N,5,?,0,?,PB,C,M,6,'Bachelors (4 years)',Yes,YesValid,50,five
Low,USA,M,6,E,DBAG,N,6,?,1,?,FG,S,F,3,'Bachelors (4 years)',No,YesValid,40,zero
'Very Low',Canada,M,12,E,DBAG,N,4,?,0,?,NP,S,M,2,'Associates (2 years)',Yes,N,38,two
'Very Low',Romania,M,2,E,DBAP,N,2,?,2,?,PB,S,M,30,Masters,No,YesValid,40,zero
Mid,USA,O,5,E,DBAG,N,5,?,1,?,PB,S,M,5,Masters,Yes,YesExpired,45,zero
Mid,USA,M,8,E,D,N,3,?,1,?,PB,C,M,3,'Bachelors (4 years)',Yes,N,55,zero
'Very High',USA,M,22,E,A,N,20,?,0,?,PB,S,M,10,'Bachelors (4 years)',Yes,N,50,zero
'Very Low',UK,M,6,E,DT,N,5,?,2,?,PB,SR,M,30,'Associates (2 years)',Yes,YesValid,38,zero
'Very Low',USA,M,2,E,DBAG,N,2,?,2,?,PB,SR,F,35,'Bachelors (4 years)',Yes,N,40,one
Mid,USA,M,11,E,DT,N,5,?,6,?,PB,S,M,25,'None (no degree completed)',?,N,42,three
Mid,USA,M,5,E,E,N,1,?,0,?,PB,S,M,2,'Bachelors (4 years)',No,YesValid,40,zero
'Very Low',Spain,M,10,E,AN,Y,10,?,2,?,PB,SR,M,10,Masters,Yes,YesValid,40,one
Mid,USA,M,9,E,A,N,6,?,0,?,E,SE,M,9,'Bachelors (4 years)',No,YesValid,40,zero
Mid,USA,M,20,E,DBAG,N,2,?,1,?,SG,S,M,10,'Bachelors (4 years)',No,YesExpired,37,zero
'Very High',USA,M,18,E,DT,N,18,?,0,?,PB,S,M,300,Masters,Yes,N,45,one
'Very Low',Canada,MS,3,E,AN,Y,2,?,0,?,SG,S,M,2,Masters,No,N,35,zero
High,USA,DB2,6,E,AN,N,6,?,0,?,PB,S,M,3,'Bachelors (4 years)',Yes,YesExpired,40,zero
High,USA,M,5,E,E,N,5,?,3,?,PB,?,M,50,'Bachelors (4 years)',Yes,N,40,zero
Low,USA,O,3,E,D,N,3,?,2,?,PB,SE,M,4,'Bachelors (4 years)',Yes,N,42,zero
High,USA,O,18,E,DBAG,N,16,?,3,?,E,S,M,14,'None (no degree completed)',?,YesExpired,40,zero
High,USA,M,10,E,DBAG,N,5,?,0,?,PB,S,M,13,'Bachelors (4 years)',Yes,YesExpired,45,zero
Low,Sweden,M,6,EC,?,N,5,?,3,?,PB,C,M,5,Masters,Yes,YesValid,40,zero
Mid,USA,M,2,E,DT,N,2,?,5,?,PB,S,M,6,'Bachelors (4 years)',Yes,N,48,zero
'Very High',USA,O,1,E,DT,N,8,?,1,?,PB,S,M,5,'None (no degree completed)',?,N,40,zero
'Very High',Hungary,M,17,IC,DBAG,Y,5,?,2,?,PB,S,M,130,'Bachelors (4 years)',No,YesValid,44,three
'Very High',USA,M,7,E,D,N,4,?,1,?,PB,SR,M,3,Masters,No,N,42,zero
'Very Low',Portugal,M,10,E,DBAP,N,1,?,5,?,PB,?,M,194,'Bachelors (4 years)',No,YesValid,40,zero
'Very High',USA,M,12,E,A,N,2,?,0,?,PB,S,M,60,'Bachelors (4 years)',No,YesExpired,55,zero
High,USA,M,11,E,DT,N,6,?,1,?,PB,SR,M,8,'Bachelors (4 years)',Yes,N,50,zero
Mid,USA,M,2,E,DA,N,2,?,1,?,E,C,M,5,'Bachelors (4 years)',Yes,N,42,zero
Low,USA,P,1,E,AN,N,1,?,2,?,PB,C,M,1,'Bachelors (4 years)',No,N,40,zero
Low,Ireland,MA,5,E,AN,Y,3,?,0,?,PB,SE,M,5,'Associates (2 years)',No,N,55,two
'Very Low',USA,M,2,EC,AN,N,2,?,3,?,PB,SE,M,5,'Associates (2 years)',?,YesValid,40,five
Low,USA,M,4,IC,AN,Y,3,?,0,?,PB,C,M,1,Masters,Yes,N,45,four
Mid,USA,M,15,E,M,Y,1,?,0,?,PB,S,M,100,'Bachelors (4 years)',Yes,N,40,zero
High,Ireland,O,10,EC,?,N,1,?,5,?,PB,S,M,4,'Bachelors (4 years)',Yes,YesValid,45,zero
'Very High',USA,M,13,E,DA,N,12,?,6,?,PB,SR,M,20,'Bachelors (4 years)',Yes,N,40,one
High,USA,M,8,E,A,Y,7,?,0,?,PB,S,M,12,'Bachelors (4 years)',Yes,N,45,zero
'Very High',USA,M,13,EC,A,Y,3,?,3,?,PB,?,?,120,'Associates (2 years)',Yes,YesValid,58,zero
'Very Low',USA,M,2,E,DBAP,N,2,?,4,?,LG,SR,M,35,'Bachelors (4 years)',Yes,YesValid,40,zero
