@relation responses_discretized-weka.filters.unsupervised.attribute.Remove-R1

@attribute SalaryUSD {Low,'Very High',High,'Very Low',Mid}
@attribute Country {Sweden,USA,UK,Pakistan,Paraguay,India,Serbia-and-Montenegro,Germany,Canada,Dominican-Republic,Slovakia,Brazil,France,Poland,Romania,Ireland,South-Africa,Portugal,CostaRica,Israel,Argentina,Peru,Australia,Venezuela,Spain,Belgium,Malaysia,Netherlands,Russia,Italy,Finland,Turkey,Austria,New-Zealand,Honduras,UAE,Guernsey,Norway,Luxembourg,PuertoRico,Guatemala,Greece,Denmark,Lithuania,Ukraine,Philippines,Hungary,Estonia,Caymans,Croatia,Indonesia,Thailand,Switzerland,Slovenia,Bosnia,Cyprus,Bulgaria,Singapore,Colombia,Chile,Iceland,Macedonia,Jersey,Latvia,CzechRepublic,Mexico,Bangladesh,China,Iran,Qatar,Ecuador,Uruguay,SaudiArabia,Vanuatu,Taiwan,Maldives,Armenia,Swaziland,Georgia,HK,Syria,Bahrain,Moldova,Nicaragua,Jamaica,Malta,Jordan,Uganda,Belarus,Nepal,Ghana,ElSalvador,Albania,Bolivia,Vietnam,Bermuda,Kenya}
@attribute PrimaryDatabase {M,P,A,MA,O,MS,RDS,MDB,DB2,SQLI,C,SAP,T,E}
@attribute YearsWithThisDatabase numeric
@attribute EmploymentStatus {E,EC,IC,P,I}
@attribute JobTitle {D,DBAP,DBAG,M,DA,DT,A,DBAD,E,AN,DS,DBA,PDE,DO,T,DBS,C,SA,S,DBABI,SRC,AC}
@attribute ManageStaff {Y,N}
@attribute YearsWithThisTypeOfJob numeric
@attribute HowManyCompanies numeric
@attribute OtherPeopleOnYourTeam numeric
@attribute PopulationOfLargestCityWithin20Miles {t,m,C,c,T}
@attribute EmploymentSector {PB,E,SG,LG,NP,FG,S}
@attribute CareerPlansThisYear {S,C,SR,SE}
@attribute Gender {M,F,NB}
@attribute DatabaseServers numeric
@attribute Education {'Bachelors (4 years)','None (no degree completed)',Masters,'Associates (2 years)',Doctorate/PhD}
@attribute EducationIsComputerRelated {Yes,No}
@attribute Certifications {N,YesValid,YesExpired}
@attribute HoursWorkedPerWeek numeric
@attribute TelecommuteDaysPerWeek {zero,five,four,one,three,two}

@data
High,USA,M,20,E,DBAP,N,20,3,3,T,NP,S,M,?,?,?,?,?,?
Low,USA,M,6,EC,DBAG,N,1,1,0,C,PB,S,M,?,?,?,?,?,?
Mid,USA,M,6,E,DBAD,N,1,1,0,t,PB,S,M,?,?,?,?,?,?
High,USA,M,22,E,DBAP,N,21,5,3,c,PB,S,M,?,?,?,?,?,?
Mid,USA,M,2,E,DBAG,N,2,1,1,T,PB,?,M,?,?,?,?,?,?
High,USA,M,18,E,DBAP,N,18,1,1,C,PB,S,F,?,?,?,?,?,?
Mid,USA,M,5,E,DBAG,Y,1,2,1,m,PB,?,M,?,?,?,?,?,?
'Very High',USA,M,15,EC,DBAG,N,20,6,4,c,SG,S,M,?,?,?,?,?,?
Low,USA,M,6,E,DBAG,Y,2,2,0,T,E,C,M,?,?,?,?,?,?
'Very Low',UK,M,4,E,DBAG,N,4,2,2,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,9,E,M,Y,4,1,6,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,22,E,DBAG,N,13,2,1,m,PB,S,M,?,?,?,?,?,?
High,USA,M,10,E,M,Y,4,2,6,C,PB,SR,M,?,?,?,?,?,?
Mid,USA,M,13,E,DA,N,17,2,0,C,PB,S,M,?,?,?,?,?,?
High,USA,M,16,E,A,N,6,1,0,T,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,30,E,DBAG,N,6,5,1,m,PB,S,M,?,?,?,?,?,?
High,USA,M,15,E,DBAP,Y,14,2,6,T,PB,S,M,?,?,?,?,?,?
'Very Low',USA,M,25,E,A,N,15,3,0,c,E,S,M,?,?,?,?,?,?
'Very Low',Poland,M,13,E,DBAP,Y,13,1,2,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,22,E,M,Y,11,3,6,C,PB,C,M,?,?,?,?,?,?
Low,USA,M,2,E,DBAP,N,3,1,4,C,PB,S,F,?,?,?,?,?,?
Low,USA,M,8,E,D,Y,6,2,2,C,PB,?,F,?,?,?,?,?,?
Mid,USA,M,18,E,DBAG,Y,12,1,2,T,PB,S,M,?,?,?,?,?,?
Mid,Canada,M,24,E,M,Y,2,1,6,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,22,E,DA,Y,22,2,0,C,PB,S,M,?,?,?,?,?,?
Mid,USA,A,1,E,D,N,3,1,2,c,E,S,F,?,?,?,?,?,?
'Very High',USA,M,13,E,DBAG,N,8,3,2,m,SG,SE,M,?,?,?,?,?,?
Mid,USA,M,2,E,DBAP,Y,1,1,0,c,PB,SR,M,?,?,?,?,?,?
High,USA,M,12,E,DBAG,N,8,4,1,m,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,8,E,M,Y,3,2,0,t,PB,S,M,?,?,?,?,?,?
Mid,USA,M,17,E,DT,N,7,2,3,m,PB,S,M,?,?,?,?,?,?
Low,Romania,M,3,E,A,Y,22,2,0,m,PB,C,M,?,?,?,?,?,?
High,USA,M,15,IC,DBAG,N,30,6,6,C,SG,S,M,?,?,?,?,?,?
Low,USA,MS,1,E,DBAP,N,1,1,0,C,PB,S,?,?,?,?,?,?,?
Mid,USA,M,9,E,DBAG,N,7,1,0,c,LG,S,M,?,?,?,?,?,?
'Very High',USA,M,13,E,DBAG,Y,13,4,1,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,IC,DT,N,20,6,0,m,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,10,E,DBAP,N,10,3,2,t,E,SR,M,?,?,?,?,?,?
'Very High',USA,M,17,E,DBAG,N,17,6,6,C,PB,S,M,?,?,?,?,?,?
High,USA,M,7,EC,DBAG,N,7,2,2,C,PB,SR,M,?,?,?,?,?,?
High,USA,M,8,E,DBAG,Y,8,4,3,m,NP,S,M,?,?,?,?,?,?
Low,UK,M,15,E,M,Y,13,1,0,T,PB,C,M,?,?,?,?,?,?
'Very High',Ireland,M,20,E,M,Y,20,2,1,m,PB,S,M,?,?,?,?,?,?
High,USA,M,13,E,DT,N,13,2,0,T,E,S,M,?,?,?,?,?,?
Low,UK,M,17,E,DBAG,N,27,6,0,m,E,S,M,?,?,?,?,?,?
'Very High',USA,M,20,EC,D,N,7,5,2,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAG,N,19,2,2,c,NP,S,M,?,?,?,?,?,?
Mid,USA,M,8,E,AN,N,8,1,1,C,E,S,M,?,?,?,?,?,?
High,USA,M,6,E,DBAG,Y,5,1,2,m,PB,S,M,?,?,?,?,?,?
Low,UK,M,10,E,DT,N,2,2,0,C,PB,S,M,?,?,?,?,?,?
'Very Low',South-Africa,M,14,E,D,N,14,3,0,t,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,13,E,DBAG,Y,6,3,0,m,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,8,E,DBAG,N,8,1,0,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,15,E,E,N,21,1,0,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,13,E,D,N,10,3,0,c,PB,S,M,?,?,?,?,?,?
Mid,USA,M,15,E,DBAG,N,15,2,1,m,E,SE,F,?,?,?,?,?,?
Low,USA,M,12,E,DA,N,12,2,0,m,E,S,M,?,?,?,?,?,?
'Very High',USA,M,10,E,D,N,12,2,1,m,PB,S,M,?,?,?,?,?,?
'Very Low',India,M,13,EC,DBAD,N,13,1,0,C,PB,SR,M,?,?,?,?,?,?
Mid,USA,O,20,E,DBAG,N,10,2,1,c,NP,S,M,?,?,?,?,?,?
'Very Low',Portugal,M,2,E,DBAD,N,2,1,0,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,15,IC,DA,Y,20,4,1,C,PB,S,M,?,?,?,?,?,?
High,USA,M,20,E,DBAG,N,5,6,0,m,PB,S,M,?,?,?,?,?,?
High,USA,M,17,E,D,N,17,1,1,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,15,EC,DBAD,N,15,2,1,m,PB,S,F,?,?,?,?,?,?
Mid,USA,M,8,E,DA,N,8,3,6,c,PB,S,M,?,?,?,?,?,?
Mid,Canada,M,9,E,DBAP,N,9,3,1,m,PB,SR,M,?,?,?,?,?,?
'Very Low',USA,M,1,E,DBAD,N,1,1,1,c,PB,SE,M,?,?,?,?,?,?
High,USA,M,25,E,DBAD,N,25,6,1,c,PB,?,M,?,?,?,?,?,?
High,USA,M,13,E,DBAG,N,13,2,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,E,N,1,1,3,m,PB,?,M,?,?,?,?,?,?
High,USA,MS,3,E,DBAP,Y,22,4,0,m,PB,SE,M,?,?,?,?,?,?
